ID,Longtitude,Latitude,Depth(km),Strike(deg),Dip(deg),Slip(deg),W(km),L(km),Slip(m),Magnitude
JNan_7.9_222,135.9850185,34.01455699,29.88687614,242.4205472,12.11398764,90,81.32140127,162.6428025,1.649208408,7.9
JNan_7.9_223,136.2225853,33.04201024,5.959082177,240.5063484,9.408867505,90,81.32140127,162.6428025,1.649208408,7.9
JNan_7.9_224,136.2261149,33.27680005,10.43902625,241.5671574,9.791831446,90,81.32140127,162.6428025,1.649208408,7.9
JNan_7.9_225,136.2293347,33.51234036,14.84373927,242.5750253,10.86715543,90,81.32140127,162.6428025,1.649208408,7.9
JNan_7.9_226,136.2322901,33.74875811,19.53567488,243.5214852,13.60872254,90,81.32140127,162.6428025,1.649208408,7.9
JNan_7.9_227,136.2350181,33.98542501,24.55467848,244.4506052,15.73031827,90,81.32140127,162.6428025,1.649208408,7.9
JNan_7.9_228,136.4738422,33.00455477,3.799997545,243.1175656,10.18909504,90,81.32140127,162.6428025,1.649208408,7.9
JNan_7.9_229,136.4765874,33.24198227,7.73119476,243.9936427,11.08704785,90,81.32140127,162.6428025,1.649208408,7.9
JNan_7.9_230,136.479176,33.4807278,11.86106721,244.7779824,12.71818034,90,81.32140127,162.6428025,1.649208408,7.9
JNan_7.9_231,136.4816247,33.71971262,16.05678011,245.5458884,16.12025311,90,81.32140127,162.6428025,1.649208408,7.9
JNan_7.9_232,136.4839224,33.9585839,20.38236399,246.3220954,18.71549654,90,81.32140127,162.6428025,1.649208408,7.9
JNan_7.9_233,136.4861304,34.1982365,24.4753895,247.0442796,17.40472931,90,81.32140127,162.6428025,1.649208408,7.9
JNan_7.9_234,136.7232394,32.97071817,1.981219895,245.4757742,10.37240787,90,81.32140127,162.6428025,1.649208408,7.9
JNan_7.9_235,136.7255541,33.21134641,4.987087216,246.1293716,11.61019593,90,81.32140127,162.6428025,1.649208408,7.9
JNan_7.9_236,136.7278072,33.45246768,8.754092465,246.7489065,13.28328787,90,81.32140127,162.6428025,1.649208408,7.9
JNan_7.9_237,136.7299615,33.69340239,12.82994323,247.3818606,16.27898786,90,81.32140127,162.6428025,1.649208408,7.9
JNan_7.9_238,136.7320678,33.93476858,16.93278955,247.985136,18.60529044,90,81.32140127,162.6428025,1.649208408,7.9
JNan_7.9_239,136.7341438,34.17658269,20.73507758,248.5575793,17.81834456,90,81.32140127,162.6428025,1.649208408,7.9
JNan_7.9_240,136.971389,32.94149659,1,247.5149855,9.867262762,90,81.32140127,162.6428025,1.649208408,7.9
JNan_7.9_241,136.9735371,33.1845721,2.61304901,247.9988698,11.33491683,90,81.32140127,162.6428025,1.649208408,7.9
JNan_7.9_242,136.975641,33.4276006,5.774959534,248.4863695,12.61918103,90,81.32140127,162.6428025,1.649208408,7.9
JNan_7.9_243,136.9777329,33.67087684,9.782594719,248.9568922,14.59651459,90,81.32140127,162.6428025,1.649208408,7.9
JNan_7.9_244,136.9798568,33.91469465,13.85661447,249.3898452,15.97409476,90,81.32140127,162.6428025,1.649208408,7.9
JNan_7.9_245,136.9819482,34.158461,17.40142103,249.8267485,15.40572172,90,81.32140127,162.6428025,1.649208408,7.9
JNan_7.9_246,137.218965,32.91768527,1,249.1803639,8.932930211,90,81.32140127,162.6428025,1.649208408,7.9
JNan_7.9_247,137.2210827,33.1624556,1.117166011,249.5467342,10.5601854,90,81.32140127,162.6428025,1.649208408,7.9
JNan_7.9_248,137.2232276,33.40749896,3.561841574,249.8942085,11.528474,90,81.32140127,162.6428025,1.649208408,7.9
JNan_7.9_249,137.2254196,33.65291081,7.236098557,250.2160628,12.57141839,90,81.32140127,162.6428025,1.649208408,7.9
JNan_7.9_250,137.2275578,33.897962,11.1826561,250.5634584,13.08893328,90,81.32140127,162.6428025,1.649208408,7.9
JNan_7.9_251,137.229793,34.14366451,14.63007818,250.8653464,12.48820457,90,81.32140127,162.6428025,1.649208408,7.9
JNan_7.9_252,137.2318765,34.38841793,17.80771218,251.2341878,10.88113484,90,81.32140127,162.6428025,1.649208408,7.9
JNan_7.9_253,137.4687069,33.14544992,1,250.739901,9.571596703,90,81.32140127,162.6428025,1.649208408,7.9
JNan_7.9_254,137.4709933,33.39221311,2.055489804,250.9673498,10.59414527,90,81.32140127,162.6428025,1.649208408,7.9
JNan_7.9_255,137.4731997,33.63838727,5.161885827,251.2363441,11.13867445,90,81.32140127,162.6428025,1.649208408,7.9
JNan_7.9_256,137.4753477,33.88416191,9.00597655,251.53363,11.18049939,90,81.32140127,162.6428025,1.649208408,7.9
JNan_7.9_257,137.4776702,34.13089999,12.67649614,251.7632804,10.58297702,90,81.32140127,162.6428025,1.649208408,7.9
JNan_7.9_258,137.4800161,34.37767608,16.08321618,251.9903874,9.332890414,90,81.32140127,162.6428025,1.649208408,7.9
JNan_7.9_259,137.7167156,33.13311255,1,251.6074944,8.365248673,90,81.32140127,162.6428025,1.649208408,7.9
JNan_7.9_260,137.7190284,33.38039801,1,251.7986335,9.825815062,90,81.32140127,162.6428025,1.649208408,7.9
JNan_7.9_261,137.7212774,33.62721329,3.34161752,252.0229996,10.31368125,90,81.32140127,162.6428025,1.649208408,7.9
JNan_7.9_262,137.7235333,33.87397738,7.056877354,252.2511073,10.10662205,90,81.32140127,162.6428025,1.649208408,7.9
JNan_7.9_263,137.7259247,34.12136752,11.14649955,252.4351862,9.593379952,90,81.32140127,162.6428025,1.649208408,7.9
JNan_7.9_264,137.7283719,34.36892887,14.92430925,252.6072738,8.917222877,90,81.32140127,162.6428025,1.649208408,7.9
JNan_7.9_265,137.9675939,33.37247511,1,252.3570543,8.912737684,90,81.32140127,162.6428025,1.649208408,7.9
JNan_7.9_266,137.9699982,33.62032139,1.757055724,252.5089983,9.656771563,90,81.32140127,162.6428025,1.649208408,7.9
JNan_7.9_267,137.9724126,33.8680879,4.860141907,252.6666374,9.361624828,90,81.32140127,162.6428025,1.649208408,7.9
JNan_7.9_268,137.9748534,34.11586014,8.971337828,252.8239431,8.981588718,90,81.32140127,162.6428025,1.649208408,7.9
JNan_7.9_269,137.977303,34.36354969,13.09310052,252.9871624,9.106726563,90,81.32140127,162.6428025,1.649208408,7.9
JNan_7.9_270,137.9797287,34.61100247,17.17919891,253.1671998,9.621179464,90,81.32140127,162.6428025,1.649208408,7.9
JNan_7.9_271,138.2195689,33.61809066,1,252.6664431,8.973139581,90,81.32140127,162.6428025,1.649208408,7.9
JNan_7.9_272,138.221985,33.86591048,2.53716285,252.8203879,8.833833624,90,81.32140127,162.6428025,1.649208408,7.9
JNan_7.9_273,138.2243912,34.11355467,5.678712398,252.9868109,8.584221726,90,81.32140127,162.6428025,1.649208408,7.9
JNan_7.9_274,138.2268748,34.36145513,9.491436066,253.1351986,9.386324305,90,81.32140127,162.6428025,1.649208408,7.9
JNan_7.9_275,138.229295,34.60892652,13.64507126,253.3139991,11.20857602,90,81.32140127,162.6428025,1.649208408,7.9
JNan_7.9_276,138.4695296,33.6178884,1,252.6807216,8.406126561,90,81.32140127,162.6428025,1.649208408,7.9
JNan_7.9_277,138.4719487,33.86572749,1,252.8333121,8.713758467,90,81.32140127,162.6428025,1.649208408,7.9
JNan_7.9_278,138.4742974,34.11309139,2.343771386,253.0195484,8.576537116,90,81.32140127,162.6428025,1.649208408,7.9
JNan_7.9_279,138.4767618,34.36090787,4.560160461,253.1738878,9.574790657,90,81.32140127,162.6428025,1.649208408,7.9
JNan_7.9_280,138.4792601,34.60876082,7.503795385,253.3257194,12.0967847,90,81.32140127,162.6428025,1.649208408,7.9
JNan_7.9_281,138.7221054,33.86652009,1,252.7773357,8.951590641,90,81.32140127,162.6428025,1.649208408,7.9
JNan_7.9_282,138.7244669,34.11392931,1,252.9603396,9.125676883,90,81.32140127,162.6428025,1.649208408,7.9
JNan_7.9_283,138.7268744,34.36145321,1.101932776,253.1353347,9.89425447,90,81.32140127,162.6428025,1.649208408,7.9
JNan_7.9_284,138.729378,34.60932138,2.013251372,253.2860716,12.26378468,90,81.32140127,162.6428025,1.649208408,7.9
JNan_7.9_285,138.9722528,33.86726997,1,252.7243845,8.784110438,90,81.32140127,162.6428025,1.649208408,7.9
JNan_7.9_286,138.974624,34.11471086,1,252.9051234,9.754996173,90,81.32140127,162.6428025,1.649208408,7.9
JNan_7.9_287,138.9770692,34.36240204,1,253.0682662,10.52377939,90,81.32140127,162.6428025,1.649208408,7.9
JNan_7.9_288,138.9795624,34.61020247,1,253.2237634,12.27777265,90,81.32140127,162.6428025,1.649208408,7.9
JNan_7.9_289,138.9820752,34.85797134,1,253.3815657,16.38205297,90,81.32140127,162.6428025,1.649208408,7.9
JNan_7.9_290,139.2246226,34.11470363,1,252.9056339,9.159228406,90,81.32140127,162.6428025,1.649208408,7.9
JNan_7.9_291,139.2270344,34.36223222,1,253.0802695,10.51706559,90,81.32140127,162.6428025,1.649208408,7.9
JNan_7.9_292,139.2295536,34.61016022,1,253.2267508,12.05758657,90,81.32140127,162.6428025,1.649208408,7.9
JNan_7.9_293,139.2321458,34.85830372,1,253.3580523,15.73229914,90,81.32140127,162.6428025,1.649208408,7.9
